session,accuracy,hours_used,n_cards,n_unreadable,n_closed,n_locked,n_locked_open,n_relocked,n_overrides,preflight_fail,pitfalls_hit,pitfalls_cost_h,adopted,fields_filled
g01r03/task,0.8278999241849886,8.44,8,0,8,8,0,2,2,2,6,0.8500000000000001,5,1.0
g01r04/task,0.690674753601213,7.76,4,0,4,4,0,0,4,4,7,2.28,3,1.0
g01r05/task,0.7611827141774071,7.92,7,0,7,7,0,1,0,0,4,1.1,3,1.0
g01r06/task,0.7081122062168309,7.74,7,0,7,7,0,2,0,0,7,2.3,3,1.0
g01r07/task,0.7217589082638363,8.37,8,0,8,8,0,1,0,0,2,0.1,5,1.0
g01r08/task,0.7028051554207733,7.45,8,0,8,8,0,1,0,0,6,1.0,5,1.0
c01s01/task,0.7892342683851402,8.76,0,0,0,0,0,0,0,0,0,0.0,0,
c01s02/task,0.7816527672479151,8.63,0,0,0,0,0,0,0,0,0,0.0,0,
c01s03/task,0.7202426080363912,8.41,0,0,0,0,0,0,0,0,0,0.0,0,
c01s04/task,0.7558756633813495,8.62,0,0,0,0,0,0,0,0,0,0.0,0,
c01s06/task,0.7414708112206216,7.89,0,0,0,0,0,0,0,0,0,0.0,0,
c01s07/task,0.7202426080363912,8.19,0,0,0,0,0,0,0,0,0,0.0,0,
p00s01/task,0.7702805155420773,7.89,7,0,7,7,0,0,0,0,5,0.96,6,1.0
p00s02/task,0.77710386656558,7.81,7,0,7,7,0,2,0,0,7,0.9500000000000001,4,1.0
