cell	created	model	status	actual_n	completed_n	scored_n	correct	accuracy	max_tokens	max_connections	gpu_memory_utilization	sha256	path
c01s04	2026-09-03T18:34:28+00:00	vllm//home/ben/hf_cache/hub/models--google--gemma-3-4b-pt/snapshots/cc012e0a6d0787b4adcc0fa2c4da74402494554d	success	150	150	150	4	0.02666666666666667	4000	16	0.3	7774ae19ab8cbd38502ae0dd7ea2eddcdd5f4a315ce39e7fdf3738df49f7983d	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-03T18-34-28+00-00_gsm8k_QaLyqq5dNfcTm856wbbzdH.json
c01s04	2026-09-03T20:16:31+00:00	vllm/runs/sft_a	success	200	200	200	101	0.505	4000	32	0.85	2d295894a3798518a0e7ed799aca7cc8bd738b87434c1fe094aae5bc840dd930	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-03T20-16-31+00-00_gsm8k_D9z747Y72G2DbCSmtWh2zh.json
c01s04	2026-09-03T20:18:18+00:00	vllm/runs/sft_a_greedy	success	200	200	200	128	0.64	4000	32	0.85	7d6c48f46e4565ce29613543e409c0af852d641aa4b6ee2f7dfe4c8ac4f7991a	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-03T20-18-18+00-00_gsm8k_d8jZP9u98hXCQKzdSWfA8y.json
c01s04	2026-09-03T23:59:18+00:00	vllm/runs/eval_g160	success	200	200	200	150	0.75	4000	32	0.85	992f25ddde706afba0a0a30058c52dedcf43dc33d456fe3ff8d66607a3a332aa	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-03T23-59-18+00-00_gsm8k_9ygtjHggGJgRRmswSb9qpd.json
c01s04	2026-09-04T00:01:38+00:00	vllm/runs/eval_g240	success	200	200	200	145	0.725	4000	32	0.85	6b0c4ba5b454114dfdea04d4dee77df66d64e1e0ed4e37e948bdff432b20bced	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T00-01-38+00-00_gsm8k_FoQAcu3L4FmBpcmWPkUHUp.json
c01s04	2026-09-04T00:03:53+00:00	vllm/runs/eval_g330	success	200	200	200	147	0.735	4000	32	0.85	cc2ebec91f585cacd59db5ba56d4d1246692d02e9ebf195e3253c93bb69ea13b	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T00-03-53+00-00_gsm8k_X2mr4yCxZPmTEHroUF7Cua.json
c01s04	2026-09-04T01:59:05+00:00	vllm/runs/eval_b160	success	400	400	400	296	0.74	4000	32	0.85	8e5adf58f0b5da8882b9b1e206b3c7c146a6968225887ae92ac062644bbe1bed	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T01-59-05+00-00_gsm8k_7GeGBaiYVzTkNxmMdqYqHZ.json
c01s04	2026-09-04T02:01:30+00:00	vllm/runs/eval_b70	success	400	400	400	297	0.7425	4000	32	0.85	daa0eb98ea4268735928f899382c09ec398d54bfb8b1529566b6186067f84fac	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-01-30+00-00_gsm8k_bjT6SxcoW3hGiWWUqa9FNr.json
c01s04	2026-09-04T02:03:24+00:00	vllm/runs/eval_g160	success	400	400	400	292	0.73	4000	32	0.85	fdda6fcc8a0154fede562255fa715c6ea9815720a9983fd164b4114bd4279471	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-03-24+00-00_gsm8k_hquV6vbphSGcVKpL7UV4B7.json
c01s04	2026-09-04T02:24:47+00:00	vllm/runs/eval_soup1	success	400	400	400	300	0.75	4000	32	0.85	ca76a2a27c95ae59c722ddbfc7f7cba1e40d71c57b365356e5fbb7cda72b553c	/home/robtang_google_com/gangda_workspace/agentic-world-model-gangda-exp-protocol-evolve/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_exp_protocol_evolve_exp-protocol-gsm8k-gemma4b-high-r00-nullctl-strict-x8-v1_c01s04_formal_r4/gsm8k_google_gemma-3-4b-pt_90816/task/logs/2026-09-04T02-24-47+00-00_gsm8k_9H2TLMs4dKFvesDsYnjzFk.json
