batch,cell,accuracy,job,result_dir,manifest,spec,cards,verdicts,receipts
wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2,c02r01,0.7384382107657316,90614,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r01_formal_r2/gsm8k_google_gemma-3-4b-pt_90614,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,10,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2/formal-2026-09-02T142736.004480+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2,c02r02,0.6929492039423806,90615,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r02_formal_r2/gsm8k_google_gemma-3-4b-pt_90615,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,8,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2/formal-2026-09-02T142736.004480+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2,c02r03,0.7399545109931767,90616,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r03_formal_r2/gsm8k_google_gemma-3-4b-pt_90616,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,12,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2/formal-2026-09-02T142736.004480+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2,c02r04,0.7536012130401819,90617,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r04_formal_r2/gsm8k_google_gemma-3-4b-pt_90617,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,7,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2/formal-2026-09-02T142736.004480+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2,c02r05,0.6739954510993177,90618,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2_c02r05_formal_r2/gsm8k_google_gemma-3-4b-pt_90618,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,8,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v2/formal-2026-09-02T142736.004480+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3,c04r01,0.8081880212282032,90684,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r01_formal_r4/gsm8k_google_gemma-3-4b-pt_90684,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,6,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3/formal-2026-09-02T192005.328594+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3,c04r02,0.7634571645185747,90685,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r02_formal_r4/gsm8k_google_gemma-3-4b-pt_90685,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,9,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3/formal-2026-09-02T192005.328594+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3,c04r03,0.7232752084912812,90686,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r03_formal_r4/gsm8k_google_gemma-3-4b-pt_90686,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,7,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3/formal-2026-09-02T192005.328594+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3,c04r04,0.7589082638362395,90687,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3_c04r04_formal_r4/gsm8k_google_gemma-3-4b-pt_90687,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,9,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-b-x8-v3/formal-2026-09-02T192005.328594+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2,c03r04,0.7103866565579985,90786,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r04_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90786,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,8,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-2026-09-02T142822.865161+0000.json | /home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-retry1-2026-09-02T203250.281373+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2,c03r05,0.7414708112206216,90787,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r05_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90787,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,8,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-2026-09-02T142822.865161+0000.json | /home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-retry1-2026-09-02T203250.281373+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2,c03r06,0.6497346474601972,90788,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r06_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90788,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,7,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-2026-09-02T142822.865161+0000.json | /home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-retry1-2026-09-02T203250.281373+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2,c03r07,0.7505686125852918,90789,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r07_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90789,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,6,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-2026-09-02T142822.865161+0000.json | /home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-retry1-2026-09-02T203250.281373+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2,c03r08,0.7210007581501138,90790,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2_c03r08_formal-retry1_r3/gsm8k_google_gemma-3-4b-pt_90790,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,6,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-2026-09-02T142822.865161+0000.json | /home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-c-x8-v2/formal-retry1-2026-09-02T203250.281373+0000.json
wma-gsm8k-gemma4b-high-r01-ctl-x8-v1,c01r01,0.7884761182714177,90564,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/results/claude_vertex_high_awm_claude-opus-5_1m__10h_gangda_wma_evolve_wma-gsm8k-gemma4b-high-r01-ctl-x8-v1_c01r01_formal_r1/gsm8k_google_gemma-3-4b-pt_90564,/home/robtang_google_com/gangda_workspace/agentic-world-model/experiments/posttrainbench/wma-gsm8k-gemma4b-high-r01-ctl-x8.yaml,doc/spec/2026-09-02-wma-round01-online-gsm8k-gemma4b.md,9,0,/home/robtang_google_com/gangda_workspace/agentic-world-model/data/ptb/batches/wma-gsm8k-gemma4b-high-r01-ctl-x8-v1/formal-2026-09-02T135737.520994+0000.json
