cohort,variant,label,n,mean_pct,min_pct,max_pct,mean_completed_fits,cells,scores_pct
R1 core,v0.2,R1 original / WMA v0.2,8,75.65390447308567,71.64518574677786,79.7573919636088,3.875,"['w01r01', 'w01r02', 'w01r03', 'w01r04', 'w01r05', 'w01r06', 'w01r07', 'w01r08']","[78.54435178165276, 75.2084912812737, 73.38893100833965, 74.60197119029569, 79.7573919636088, 72.85822592873389, 71.64518574677786, 79.22668688400303]"
R1 core,Control,R1 original / no WMA,8,75.22744503411676,68.08188021228203,81.57695223654284,3.375,"['c01r01', 'c01r02', 'c01r03', 'c01r04', 'c01r05', 'c01r06', 'c01r07', 'c01r08']","[78.84761182714178, 72.17589082638362, 71.34192570128886, 72.02426080363912, 81.57695223654284, 80.81880212282032, 68.08188021228203, 76.95223654283548]"
R1 B-v2,v0.2,R1 extension B-v2 / WMA,5,70.44730856709629,66.11068991660348,73.08567096285064,2.8,"['w02r01', 'w02r02', 'w02r03', 'w02r04', 'w02r05']","[73.08567096285064, 72.10007581501138, 68.08188021228203, 66.11068991660348, 72.85822592873389]"
R1 B-v2,Control,R1 extension B-v2 / no WMA,5,71.97877179681576,67.39954510993176,75.3601213040182,4,"['c02r01', 'c02r02', 'c02r03', 'c02r04', 'c02r05']","[73.84382107657316, 69.29492039423806, 73.99545109931766, 75.3601213040182, 67.39954510993176]"
R1 C-v2,v0.2,R1 extension C-v2 / WMA,1,68.7642153146323,68.7642153146323,68.7642153146323,3,['w03r04'],[68.7642153146323]
R1 C-v2,Control,R1 extension C-v2 / no WMA,5,71.46322971948446,64.97346474601972,75.05686125852918,3.4,"['c03r04', 'c03r05', 'c03r06', 'c03r07', 'c03r08']","[71.03866565579985, 74.14708112206216, 64.97346474601972, 75.05686125852918, 72.10007581501138]"
R1 B-v3,v0.2,R1 extension B-v3 / WMA,5,73.29795299469295,66.79302501895376,78.92342683851402,3.2,"['w04r01', 'w04r02', 'w04r03', 'w04r04', 'w04r05']","[66.79302501895376, 77.25549658832449, 78.92342683851402, 74.29871114480667, 69.2191053828658]"
R1 B-v3,Control,R1 extension B-v3 / no WMA,4,76.34571645185747,72.32752084912812,80.81880212282032,4.25,"['c04r01', 'c04r02', 'c04r03', 'c04r04']","[80.81880212282032, 76.34571645185747, 72.32752084912812, 75.89082638362396]"
R2 blocking,v0.2,R2 blocking / WMA v0.2,4,71.34192570128886,69.44655041698256,72.25170583775588,3.25,"['w10r01', 'w10r02', 'w10r03', 'w10r04']","[69.44655041698256, 71.72100075815011, 71.94844579226687, 72.25170583775588]"
R2 blocking,Control,R2 blocking / no WMA,4,74.29871114480667,68.7642153146323,81.50113722517058,3.25,"['c10r01', 'c10r02', 'c10r03', 'c10r04']","[81.50113722517058, 76.72479150871872, 70.20470053070508, 68.7642153146323]"
R2 blocking,A,A / format-floor,4,69.08642911296437,65.20090978013646,71.72100075815011,3,"['w06r01', 'w06r02', 'w06r03', 'w06r04']","[69.2191053828658, 70.20470053070508, 71.72100075815011, 65.20090978013646]"
R2 blocking,A+B,A+B / format-floor + width,4,71.77786201667931,69.97725549658831,72.93404094010614,3,"['w07r01', 'w07r02', 'w07r03', 'w07r04']","[72.78241091736164, 72.93404094010614, 71.4177407126611, 69.97725549658831]"
R2 blocking,C,C / probe-before-fail,4,71.79681576952237,64.74601971190296,79.37831690674754,2.75,"['w08r01', 'w08r02', 'w08r03', 'w08r04']","[73.23730098559514, 69.82562547384383, 64.74601971190296, 79.37831690674754]"
R2 blocking,D,D / checkpoint plan *,3,73.28784432650998,68.84003032600455,76.57316148597423,3.3333333333333335,"['w09r01', 'w09r02', 'w09r03']","[76.57316148597423, 74.45034116755117, 68.84003032600455]"
