cell,cohort,variant,axis,n,threshold,k,observation,max_fits
c02r01,R1 B-v2,Control,completed_supervised,150,0.7,5,hit,5
c02r01,R1 B-v2,Control,completed_supervised,150,0.75,,not_observed,5
c02r01,R1 B-v2,Control,completed_supervised,150,0.8,,not_observed,5
c02r01,R1 B-v2,Control,completed_supervised,500,0.7,,no_evaluation_at_this_n,5
c02r01,R1 B-v2,Control,completed_supervised,500,0.75,,no_evaluation_at_this_n,5
c02r01,R1 B-v2,Control,completed_supervised,500,0.8,,no_evaluation_at_this_n,5
c02r01,R1 B-v2,Control,completed_supervised,1319,0.7,,no_evaluation_at_this_n,5
c02r01,R1 B-v2,Control,completed_supervised,1319,0.75,,no_evaluation_at_this_n,5
c02r01,R1 B-v2,Control,completed_supervised,1319,0.8,,no_evaluation_at_this_n,5
c02r01,R1 B-v2,Control,completed_sft,150,0.7,3,hit,3
c02r01,R1 B-v2,Control,completed_sft,150,0.75,,not_observed,3
c02r01,R1 B-v2,Control,completed_sft,150,0.8,,not_observed,3
c02r01,R1 B-v2,Control,completed_sft,500,0.7,,no_evaluation_at_this_n,3
c02r01,R1 B-v2,Control,completed_sft,500,0.75,,no_evaluation_at_this_n,3
c02r01,R1 B-v2,Control,completed_sft,500,0.8,,no_evaluation_at_this_n,3
c02r01,R1 B-v2,Control,completed_sft,1319,0.7,,no_evaluation_at_this_n,3
c02r01,R1 B-v2,Control,completed_sft,1319,0.75,,no_evaluation_at_this_n,3
c02r01,R1 B-v2,Control,completed_sft,1319,0.8,,no_evaluation_at_this_n,3
c02r02,R1 B-v2,Control,completed_supervised,150,0.7,2,hit,3
c02r02,R1 B-v2,Control,completed_supervised,150,0.75,,not_observed,3
c02r02,R1 B-v2,Control,completed_supervised,150,0.8,,not_observed,3
c02r02,R1 B-v2,Control,completed_supervised,500,0.7,3,hit,3
c02r02,R1 B-v2,Control,completed_supervised,500,0.75,,not_observed,3
c02r02,R1 B-v2,Control,completed_supervised,500,0.8,,not_observed,3
c02r02,R1 B-v2,Control,completed_supervised,1319,0.7,,no_evaluation_at_this_n,3
c02r02,R1 B-v2,Control,completed_supervised,1319,0.75,,no_evaluation_at_this_n,3
c02r02,R1 B-v2,Control,completed_supervised,1319,0.8,,no_evaluation_at_this_n,3
c02r02,R1 B-v2,Control,completed_sft,150,0.7,1,hit,2
c02r02,R1 B-v2,Control,completed_sft,150,0.75,,not_observed,2
c02r02,R1 B-v2,Control,completed_sft,150,0.8,,not_observed,2
c02r02,R1 B-v2,Control,completed_sft,500,0.7,2,hit,2
c02r02,R1 B-v2,Control,completed_sft,500,0.75,,not_observed,2
c02r02,R1 B-v2,Control,completed_sft,500,0.8,,not_observed,2
c02r02,R1 B-v2,Control,completed_sft,1319,0.7,,no_evaluation_at_this_n,2
c02r02,R1 B-v2,Control,completed_sft,1319,0.75,,no_evaluation_at_this_n,2
c02r02,R1 B-v2,Control,completed_sft,1319,0.8,,no_evaluation_at_this_n,2
c02r03,R1 B-v2,Control,completed_supervised,150,0.7,1,hit,4
c02r03,R1 B-v2,Control,completed_supervised,150,0.75,3,hit,4
c02r03,R1 B-v2,Control,completed_supervised,150,0.8,,not_observed,4
c02r03,R1 B-v2,Control,completed_supervised,500,0.7,4,hit,4
