n=5971 dropped_too_long=1492 p50=245 max=552
batches 1560
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 30.35it/s]
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
trainable params: 59,604,992 || all params: 4,359,684,464 || trainable%: 1.3672
step 0/1560 loss 0.9513 elapsed 0.0m eta 23.4m
step 20/1560 loss 0.8720 elapsed 0.2m eta 12.7m
step 40/1560 loss 0.5958 elapsed 0.3m eta 12.2m
step 60/1560 loss 0.5705 elapsed 0.5m eta 11.9m
step 80/1560 loss 0.5344 elapsed 0.6m eta 11.7m
step 100/1560 loss 0.4465 elapsed 0.8m eta 11.6m
step 120/1560 loss 0.5246 elapsed 1.0m eta 11.4m
step 140/1560 loss 0.6263 elapsed 1.1m eta 11.2m
step 160/1560 loss 0.3498 elapsed 1.3m eta 11.0m
step 180/1560 loss 0.5139 elapsed 1.4m eta 10.8m
step 200/1560 loss 0.5137 elapsed 1.6m eta 10.7m
step 220/1560 loss 0.4215 elapsed 1.7m eta 10.5m
step 240/1560 loss 0.6076 elapsed 1.9m eta 10.3m
step 260/1560 loss 0.5620 elapsed 2.0m eta 10.2m
step 280/1560 loss 0.4946 elapsed 2.2m eta 10.0m
step 300/1560 loss 0.4756 elapsed 2.4m eta 9.9m
step 320/1560 loss 0.4798 elapsed 2.5m eta 9.7m
step 340/1560 loss 0.5090 elapsed 2.7m eta 9.6m
step 360/1560 loss 0.5171 elapsed 2.8m eta 9.4m
step 380/1560 loss 0.4802 elapsed 3.0m eta 9.2m
step 400/1560 loss 0.3731 elapsed 3.1m eta 9.1m
step 420/1560 loss 0.6758 elapsed 3.3m eta 8.9m
step 440/1560 loss 0.4885 elapsed 3.5m eta 8.8m
step 460/1560 loss 0.5946 elapsed 3.6m eta 8.6m
step 480/1560 loss 0.4460 elapsed 3.8m eta 8.4m
step 500/1560 loss 0.5576 elapsed 3.9m eta 8.3m
step 520/1560 loss 0.5579 elapsed 4.1m eta 8.1m
step 540/1560 loss 0.4666 elapsed 4.2m eta 8.0m
step 560/1560 loss 0.4545 elapsed 4.4m eta 7.8m
step 580/1560 loss 0.4570 elapsed 4.5m eta 7.7m
step 600/1560 loss 0.4166 elapsed 4.7m eta 7.5m
step 620/1560 loss 0.3313 elapsed 4.9m eta 7.3m
step 640/1560 loss 0.4068 elapsed 5.0m eta 7.2m
step 660/1560 loss 0.5084 elapsed 5.2m eta 7.0m
step 680/1560 loss 0.2322 elapsed 5.3m eta 6.9m
step 700/1560 loss 0.4129 elapsed 5.5m eta 6.7m
step 720/1560 loss 0.3955 elapsed 5.6m eta 6.6m
step 740/1560 loss 0.3177 elapsed 5.8m eta 6.4m
step 760/1560 loss 0.5080 elapsed 5.9m eta 6.2m
step 780/1560 loss 0.4442 elapsed 6.1m eta 6.1m
step 800/1560 loss 0.4035 elapsed 6.3m eta 5.9m
step 820/1560 loss 0.3754 elapsed 6.4m eta 5.8m
step 840/1560 loss 0.3727 elapsed 6.6m eta 5.6m
step 860/1560 loss 0.4195 elapsed 6.7m eta 5.5m
step 880/1560 loss 0.4346 elapsed 6.9m eta 5.3m
step 900/1560 loss 0.3894 elapsed 7.0m eta 5.1m
step 920/1560 loss 0.2972 elapsed 7.2m eta 5.0m
step 940/1560 loss 0.5700 elapsed 7.3m eta 4.8m
step 960/1560 loss 0.3807 elapsed 7.5m eta 4.7m
step 980/1560 loss 0.5145 elapsed 7.7m eta 4.5m
step 1000/1560 loss 0.3646 elapsed 7.8m eta 4.4m
step 1020/1560 loss 0.4787 elapsed 8.0m eta 4.2m
step 1040/1560 loss 0.4765 elapsed 8.1m eta 4.1m
step 1060/1560 loss 0.3674 elapsed 8.3m eta 3.9m
step 1080/1560 loss 0.3778 elapsed 8.4m eta 3.7m
step 1100/1560 loss 0.3714 elapsed 8.6m eta 3.6m
step 1120/1560 loss 0.3513 elapsed 8.8m eta 3.4m
step 1140/1560 loss 0.2704 elapsed 8.9m eta 3.3m
step 1160/1560 loss 0.3310 elapsed 9.1m eta 3.1m
step 1180/1560 loss 0.4139 elapsed 9.2m eta 3.0m
step 1200/1560 loss 0.1570 elapsed 9.4m eta 2.8m
step 1220/1560 loss 0.3219 elapsed 9.5m eta 2.6m
step 1240/1560 loss 0.3218 elapsed 9.7m eta 2.5m
step 1260/1560 loss 0.2091 elapsed 9.8m eta 2.3m
step 1280/1560 loss 0.4303 elapsed 10.0m eta 2.2m
step 1300/1560 loss 0.3555 elapsed 10.2m eta 2.0m
step 1320/1560 loss 0.3365 elapsed 10.3m eta 1.9m
step 1340/1560 loss 0.3134 elapsed 10.5m eta 1.7m
step 1360/1560 loss 0.3076 elapsed 10.6m eta 1.6m
step 1380/1560 loss 0.3499 elapsed 10.8m eta 1.4m
step 1400/1560 loss 0.3857 elapsed 10.9m eta 1.2m
wall-clock cap 11.0m hit at step 1408/1560
training done 11.000229787826537
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
saved out_sft2
