excluded problems 76484
fewshot pool 7473
parquet files: 32
train-00000-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 0, 'math': 0, 'augmented_math': 10000}
train-00001-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 1696, 'math': 0, 'augmented_math': 10000}
train-00002-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 13687, 'math': 447, 'augmented_math': 10000}
train-00003-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 24825, 'math': 927, 'augmented_math': 10000}
train-00004-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 34222, 'math': 1321, 'augmented_math': 10000}
train-00005-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 41022, 'math': 1726, 'augmented_math': 10000}
train-00006-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 45929, 'math': 2084, 'augmented_math': 10000}
train-00007-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 49074, 'math': 2426, 'augmented_math': 10000}
train-00008-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 51256, 'math': 2696, 'augmented_math': 10000}
train-00009-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 52749, 'math': 2952, 'augmented_math': 10000}
train-00010-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 53757, 'math': 3210, 'augmented_math': 10000}
train-00011-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 54477, 'math': 3422, 'augmented_math': 10000}
train-00012-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 55023, 'math': 3611, 'augmented_math': 10000}
train-00013-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 55455, 'math': 3770, 'augmented_math': 10000}
train-00014-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 55822, 'math': 3970, 'augmented_math': 10000}
train-00015-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 56136, 'math': 4119, 'augmented_math': 10000}
train-00016-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 56383, 'math': 4264, 'augmented_math': 10000}
train-00017-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 56586, 'math': 4411, 'augmented_math': 10000}
train-00018-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 56749, 'math': 4536, 'augmented_math': 10000}
train-00019-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 56871, 'math': 4651, 'augmented_math': 10000}
train-00020-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 56983, 'math': 4780, 'augmented_math': 10000}
train-00021-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57086, 'math': 4882, 'augmented_math': 10000}
train-00022-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57180, 'math': 4989, 'augmented_math': 10000}
train-00023-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57253, 'math': 5079, 'augmented_math': 10000}
train-00024-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57331, 'math': 5165, 'augmented_math': 10000}
train-00025-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57392, 'math': 5269, 'augmented_math': 10000}
train-00026-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57458, 'math': 5354, 'augmented_math': 10000}
train-00027-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57511, 'math': 5426, 'augmented_math': 10000}
train-00028-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57558, 'math': 5503, 'augmented_math': 10000}
train-00029-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57615, 'math': 5574, 'augmented_math': 10000}
train-00030-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57656, 'math': 5639, 'augmented_math': 10000}
train-00031-of-00032.parquet {'gsm8k': 0, 'augmented_gsm8k': 57702, 'math': 5698, 'augmented_math': 10000}
total records 73400 {'gsm8k': 0, 'augmented_gsm8k': 57702, 'math': 5698, 'augmented_math': 10000}
wrote work/sft_r2.jsonl fewshot-prefixed: 8852
