dataset: 121179 examples, skipped 380 too long
token stats: mean 420.5 p95 944 max 1407 total 50.96M
liger kernel applied

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 27.55it/s]
frozen params: 419.8M
trainable: 3880.3M

  0%|          | 0/1894 [00:00<?, ?it/s]`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.

  0%|          | 1/1894 [00:07<4:09:13,  7.90s/it]
  0%|          | 2/1894 [00:13<3:26:23,  6.55s/it]
  0%|          | 3/1894 [00:18<3:00:33,  5.73s/it]
  0%|          | 4/1894 [00:22<2:43:23,  5.19s/it]
  0%|          | 5/1894 [00:26<2:32:26,  4.84s/it]
  0%|          | 6/1894 [00:30<2:24:12,  4.58s/it]
  0%|          | 7/1894 [00:34<2:15:23,  4.30s/it]
  0%|          | 8/1894 [00:38<2:05:51,  4.00s/it]
  0%|          | 9/1894 [00:41<1:56:19,  3.70s/it]
  1%|          | 10/1894 [00:43<1:47:32,  3.42s/it]
  1%|          | 11/1894 [00:46<1:40:27,  3.20s/it]
  1%|          | 12/1894 [00:49<1:34:48,  3.02s/it]
  1%|          | 13/1894 [00:51<1:29:29,  2.85s/it]
  1%|          | 14/1894 [00:54<1:25:00,  2.71s/it]
  1%|          | 15/1894 [00:56<1:21:26,  2.60s/it]
  1%|          | 16/1894 [00:58<1:18:06,  2.50s/it]
  1%|          | 17/1894 [01:01<1:26:16,  2.76s/it]
  1%|          | 18/1894 [01:04<1:26:08,  2.76s/it]
  1%|          | 19/1894 [01:07<1:25:33,  2.74s/it]
  1%|          | 20/1894 [01:10<1:24:33,  2.71s/it]
                                                   
  1%|          | 20/1894 [01:10<1:24:33,  2.71s/it]
  1%|          | 21/1894 [01:12<1:23:22,  2.67s/it]
  1%|          | 22/1894 [01:15<1:22:00,  2.63s/it]
  1%|          | 23/1894 [01:17<1:20:38,  2.59s/it]
  1%|▏         | 24/1894 [01:20<1:19:20,  2.55s/it]
  1%|▏         | 25/1894 [01:22<1:18:11,  2.51s/it]
  1%|▏         | 26/1894 [01:24<1:16:55,  2.47s/it]
  1%|▏         | 27/1894 [01:27<1:15:42,  2.43s/it]
  1%|▏         | 28/1894 [01:29<1:14:30,  2.40s/it]
  2%|▏         | 29/1894 [01:31<1:13:33,  2.37s/it]
  2%|▏         | 30/1894 [01:34<1:12:14,  2.33s/it]
  2%|▏         | 31/1894 [01:36<1:11:09,  2.29s/it]
  2%|▏         | 32/1894 [01:38<1:10:05,  2.26s/it]
  2%|▏         | 33/1894 [01:40<1:08:48,  2.22s/it]
  2%|▏         | 34/1894 [01:42<1:07:52,  2.19s/it]
  2%|▏         | 35/1894 [01:45<1:13:52,  2.38s/it]
  2%|▏         | 36/1894 [01:47<1:10:46,  2.29s/it]
  2%|▏         | 37/1894 [01:49<1:08:18,  2.21s/it]
  2%|▏         | 38/1894 [01:51<1:06:23,  2.15s/it]
  2%|▏         | 39/1894 [01:53<1:04:45,  2.09s/it]
  2%|▏         | 40/1894 [01:55<1:03:21,  2.05s/it]
                                                   
  2%|▏         | 40/1894 [01:55<1:03:21,  2.05s/it]
  2%|▏         | 41/1894 [01:57<1:02:08,  2.01s/it]
  2%|▏         | 42/1894 [01:59<1:00:50,  1.97s/it]
  2%|▏         | 43/1894 [02:01<59:52,  1.94s/it]  
  2%|▏         | 44/1894 [02:03<58:36,  1.90s/it]
  2%|▏         | 45/1894 [02:04<57:18,  1.86s/it]
  2%|▏         | 46/1894 [02:06<56:06,  1.82s/it]
  2%|▏         | 47/1894 [02:08<54:49,  1.78s/it]
  3%|▎         | 48/1894 [02:09<53:28,  1.74s/it]
  3%|▎         | 49/1894 [02:11<51:59,  1.69s/it]
  3%|▎         | 50/1894 [02:12<50:01,  1.63s/it]
  3%|▎         | 51/1894 [02:19<1:35:50,  3.12s/it]
  3%|▎         | 52/1894 [02:24<1:56:48,  3.80s/it]
  3%|▎         | 53/1894 [02:29<2:06:43,  4.13s/it]
  3%|▎         | 54/1894 [02:35<2:16:15,  4.44s/it]
  3%|▎         | 55/1894 [02:39<2:15:42,  4.43s/it]
  3%|▎         | 56/1894 [02:43<2:11:43,  4.30s/it]
  3%|▎         | 57/1894 [02:47<2:05:15,  4.09s/it]
  3%|▎         | 58/1894 [02:50<1:57:41,  3.85s/it]
  3%|▎         | 59/1894 [02:53<1:50:22,  3.61s/it]
  3%|▎         | 60/1894 [02:56<1:43:46,  3.39s/it]
                                                   
  3%|▎         | 60/1894 [02:56<1:43:46,  3.39s/it]
  3%|▎         | 61/1894 [02:58<1:37:28,  3.19s/it]
  3%|▎         | 62/1894 [03:01<1:31:52,  3.01s/it]
  3%|▎         | 63/1894 [03:03<1:26:49,  2.85s/it]
  3%|▎         | 64/1894 [03:06<1:22:25,  2.70s/it]
  3%|▎         | 65/1894 [03:08<1:19:02,  2.59s/it]
  3%|▎         | 66/1894 [03:10<1:15:53,  2.49s/it]
  4%|▎         | 67/1894 [03:13<1:18:27,  2.58s/it]
  4%|▎         | 68/1894 [03:16<1:19:53,  2.63s/it]
  4%|▎         | 69/1894 [03:19<1:20:12,  2.64s/it]
  4%|▎         | 70/1894 [03:21<1:19:55,  2.63s/it]
  4%|▎         | 71/1894 [03:25<1:26:18,  2.84s/it]
  4%|▍         | 72/1894 [03:27<1:23:02,  2.73s/it]
  4%|▍         | 73/1894 [03:30<1:20:33,  2.65s/it]
  4%|▍         | 74/1894 [03:32<1:18:24,  2.58s/it]
  4%|▍         | 75/1894 [03:34<1:16:38,  2.53s/it]
  4%|▍         | 76/1894 [03:37<1:14:57,  2.47s/it]
  4%|▍         | 77/1894 [03:39<1:13:34,  2.43s/it]
  4%|▍         | 78/1894 [03:41<1:12:19,  2.39s/it]
  4%|▍         | 79/1894 [03:44<1:10:50,  2.34s/it]
  4%|▍         | 80/1894 [03:46<1:09:50,  2.31s/it]
                                                   
  4%|▍         | 80/1894 [03:46<1:09:50,  2.31s/it]
  4%|▍         | 81/1894 [03:48<1:08:39,  2.27s/it]
  4%|▍         | 82/1894 [03:50<1:07:34,  2.24s/it]
  4%|▍         | 83/1894 [03:52<1:06:30,  2.20s/it]
  4%|▍         | 84/1894 [03:54<1:05:31,  2.17s/it]
  4%|▍         | 85/1894 [03:56<1:04:37,  2.14s/it]
  5%|▍         | 86/1894 [03:58<1:03:30,  2.11s/it]
  5%|▍         | 87/1894 [04:00<1:02:29,  2.07s/it]
  5%|▍         | 88/1894 [04:02<1:01:34,  2.05s/it]
  5%|▍         | 89/1894 [04:05<1:07:48,  2.25s/it]
  5%|▍         | 90/1894 [04:07<1:04:43,  2.15s/it]
