[data] kept 149726, dropped 274 over 1536 (0.183%); len p50=375 p99=1212 max=1535; tokens=69.3M
[data] 11881 micro-batches, mean size 12.6, optim steps ~1485
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:01<00:01,  1.25s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.14it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.07it/s]
[model] trainable 3.88B frozen 0.42B
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
{'loss': 0.5856, 'grad_norm': 3.3368642330169678, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.0067334399461324804}
{'loss': 0.431, 'grad_norm': 2.0246095657348633, 'learning_rate': 4.222222222222223e-06, 'epoch': 0.013466879892264961}
{'loss': 0.4086, 'grad_norm': 1.7341599464416504, 'learning_rate': 6.444444444444445e-06, 'epoch': 0.02020031983839744}
{'loss': 0.3725, 'grad_norm': 1.8016948699951172, 'learning_rate': 8.666666666666668e-06, 'epoch': 0.026933759784529922}
{'loss': 0.3794, 'grad_norm': 1.529878854751587, 'learning_rate': 9.999809879467164e-06, 'epoch': 0.0336671997306624}
{'loss': 0.3742, 'grad_norm': 1.5142861604690552, 'learning_rate': 9.997671189514108e-06, 'epoch': 0.04040063967679488}
{'loss': 0.3811, 'grad_norm': 1.4128857851028442, 'learning_rate': 9.993157178819001e-06, 'epoch': 0.047134079622927365}
{'loss': 0.3695, 'grad_norm': 1.2264399528503418, 'learning_rate': 9.986269992825754e-06, 'epoch': 0.053867519569059844}
{'loss': 0.3611, 'grad_norm': 1.4549311399459839, 'learning_rate': 9.977012904914133e-06, 'epoch': 0.06060095951519232}
{'loss': 0.364, 'grad_norm': 1.3786382675170898, 'learning_rate': 9.965390314843963e-06, 'epoch': 0.0673343994613248}
{'loss': 0.3654, 'grad_norm': 1.4198144674301147, 'learning_rate': 9.951407746663992e-06, 'epoch': 0.07406783940745729}
{'loss': 0.3496, 'grad_norm': 1.359731912612915, 'learning_rate': 9.935071846086384e-06, 'epoch': 0.08080127935358976}
{'loss': 0.346, 'grad_norm': 1.194384217262268, 'learning_rate': 9.916390377328117e-06, 'epoch': 0.08753471929972224}
{'loss': 0.3562, 'grad_norm': 1.129773736000061, 'learning_rate': 9.89537221942075e-06, 'epoch': 0.09426815924585473}
{'loss': 0.3517, 'grad_norm': 1.434016227722168, 'learning_rate': 9.872027361990362e-06, 'epoch': 0.1010015991919872}
{'loss': 0.3383, 'grad_norm': 1.3633195161819458, 'learning_rate': 9.846366900509618e-06, 'epoch': 0.10773503913811969}
{'loss': 0.3625, 'grad_norm': 1.3265656232833862, 'learning_rate': 9.818403031024256e-06, 'epoch': 0.11446847908425217}
{'loss': 0.3621, 'grad_norm': 1.1774368286132812, 'learning_rate': 9.788149044356479e-06, 'epoch': 0.12120191903038464}
{'loss': 0.3543, 'grad_norm': 1.202202558517456, 'learning_rate': 9.755619319788025e-06, 'epoch': 0.12793535897651712}
{'loss': 0.341, 'grad_norm': 1.2074071168899536, 'learning_rate': 9.720829318225897e-06, 'epoch': 0.1346687989226496}
{'loss': 0.3447, 'grad_norm': 1.2032932043075562, 'learning_rate': 9.683795574854024e-06, 'epoch': 0.1414022388687821}
{'loss': 0.3433, 'grad_norm': 1.1567038297653198, 'learning_rate': 9.64453569127432e-06, 'epoch': 0.14813567881491457}
{'loss': 0.3387, 'grad_norm': 1.4233980178833008, 'learning_rate': 9.603068327140908e-06, 'epoch': 0.15486911876104706}
{'loss': 0.361, 'grad_norm': 1.225891351699829, 'learning_rate': 9.559413191291442e-06, 'epoch': 0.16160255870717952}
{'loss': 0.3504, 'grad_norm': 1.061126708984375, 'learning_rate': 9.513591032379798e-06, 'epoch': 0.168335998653312}
{'loss': 0.3509, 'grad_norm': 1.3220819234848022, 'learning_rate': 9.465623629014528e-06, 'epoch': 0.1750694385994445}
{'loss': 0.3624, 'grad_norm': 1.343861699104309, 'learning_rate': 9.415533779407804e-06, 'epoch': 0.18180287854557697}
{'loss': 0.3476, 'grad_norm': 1.2842507362365723, 'learning_rate': 9.363345290539765e-06, 'epoch': 0.18853631849170946}
{'loss': 0.3283, 'grad_norm': 1.049018383026123, 'learning_rate': 9.309082966843394e-06, 'epoch': 0.19526975843784194}
{'loss': 0.3221, 'grad_norm': 1.1605583429336548, 'learning_rate': 9.25277259841534e-06, 'epoch': 0.2020031983839744}
{'loss': 0.339, 'grad_norm': 1.2489396333694458, 'learning_rate': 9.19444094875825e-06, 'epoch': 0.2087366383301069}
{'loss': 0.3228, 'grad_norm': 1.208638072013855, 'learning_rate': 9.134115742060475e-06, 'epoch': 0.21547007827623937}
{'loss': 0.3457, 'grad_norm': 1.3346103429794312, 'learning_rate': 9.071825650019145e-06, 'epoch': 0.22220351822237186}
{'loss': 0.3492, 'grad_norm': 1.1850299835205078, 'learning_rate': 9.007600278212952e-06, 'epoch': 0.22893695816850435}
{'loss': 0.3405, 'grad_norm': 1.141577959060669, 'learning_rate': 8.941470152031027e-06, 'epoch': 0.2356703981146368}
{'loss': 0.3347, 'grad_norm': 1.0709789991378784, 'learning_rate': 8.873466702164673e-06, 'epoch': 0.2424038380607693}
{'loss': 0.3293, 'grad_norm': 1.2357802391052246, 'learning_rate': 8.803622249668813e-06, 'epoch': 0.24913727800690177}
{'loss': 0.3254, 'grad_norm': 1.2799218893051147, 'learning_rate': 8.731969990600257e-06, 'epoch': 0.25587071795303423}
{'loss': 0.3259, 'grad_norm': 1.036046028137207, 'learning_rate': 8.658543980240101e-06, 'epoch': 0.26260415789916675}
{'loss': 0.331, 'grad_norm': 1.1165302991867065, 'learning_rate': 8.583379116907742e-06, 'epoch': 0.2693375978452992}
{'loss': 0.3411, 'grad_norm': 1.0949875116348267, 'learning_rate': 8.506511125374216e-06, 'epoch': 0.2760710377914317}
{'loss': 0.3428, 'grad_norm': 1.1743659973144531, 'learning_rate': 8.427976539882725e-06, 'epoch': 0.2828044777375642}
{'loss': 0.3431, 'grad_norm': 1.2204217910766602, 'learning_rate': 8.347812686784444e-06, 'epoch': 0.28953791768369663}
{'loss': 0.3406, 'grad_norm': 1.1351078748703003, 'learning_rate': 8.266057666797849e-06, 'epoch': 0.29627135762982915}
{'loss': 0.3262, 'grad_norm': 1.0311779975891113, 'learning_rate': 8.1827503369e-06, 'epoch': 0.3030047975759616}
{'loss': 0.3346, 'grad_norm': 1.2879546880722046, 'learning_rate': 8.09793029185837e-06, 'epoch': 0.3097382375220941}
{'loss': 0.3429, 'grad_norm': 1.2419934272766113, 'learning_rate': 8.011637845412034e-06, 'epoch': 0.3164716774682266}
{'loss': 0.3282, 'grad_norm': 1.2250959873199463, 'learning_rate': 7.923914011111138e-06, 'epoch': 0.32320511741435903}
{'loss': 0.3175, 'grad_norm': 1.1913715600967407, 'learning_rate': 7.834800482823744e-06, 'epoch': 0.32993855736049155}
{'loss': 0.3152, 'grad_norm': 0.982616126537323, 'learning_rate': 7.744339614919334e-06, 'epoch': 0.336671997306624}
{'loss': 0.3274, 'grad_norm': 1.0937913656234741, 'learning_rate': 7.652574402138411e-06, 'epoch': 0.3434054372527565}
{'loss': 0.334, 'grad_norm': 1.1128735542297363, 'learning_rate': 7.559548459157697e-06, 'epoch': 0.350138877198889}
{'loss': 0.337, 'grad_norm': 1.0679638385772705, 'learning_rate': 7.465305999860728e-06, 'epoch': 0.3568723171450215}
{'loss': 0.3323, 'grad_norm': 1.2431788444519043, 'learning_rate': 7.369891816323624e-06, 'epoch': 0.36360575709115395}
{'loss': 0.3326, 'grad_norm': 1.038610816001892, 'learning_rate': 7.273351257526068e-06, 'epoch': 0.3703391970372864}
{'loss': 0.3297, 'grad_norm': 1.1352450847625732, 'learning_rate': 7.175730207797596e-06, 'epoch': 0.3770726369834189}
{'loss': 0.3208, 'grad_norm': 1.154536485671997, 'learning_rate': 7.0770750650094335e-06, 'epoch': 0.3838060769295514}
{'loss': 0.337, 'grad_norm': 1.4495056867599487, 'learning_rate': 6.977432718522261e-06, 'epoch': 0.3905395168756839}
{'loss': 0.3325, 'grad_norm': 1.1446313858032227, 'learning_rate': 6.876850526900385e-06, 'epoch': 0.39727295682181635}
{'loss': 0.3291, 'grad_norm': 1.3585807085037231, 'learning_rate': 6.7753762954028875e-06, 'epoch': 0.4040063967679488}
{'loss': 0.3341, 'grad_norm': 1.1671192646026611, 'learning_rate': 6.673058253262494e-06, 'epoch': 0.4107398367140813}
{'loss': 0.3287, 'grad_norm': 1.0225656032562256, 'learning_rate': 6.5699450307629e-06, 'epoch': 0.4174732766602138}
{'loss': 0.3142, 'grad_norm': 1.2274141311645508, 'learning_rate': 6.466085636125516e-06, 'epoch': 0.4242067166063463}
{'loss': 0.3198, 'grad_norm': 1.0053788423538208, 'learning_rate': 6.36152943221656e-06, 'epoch': 0.43094015655247875}
{'loss': 0.3335, 'grad_norm': 1.1494660377502441, 'learning_rate': 6.25632611308561e-06, 'epoch': 0.4376735964986112}
{'loss': 0.3098, 'grad_norm': 0.9076454639434814, 'learning_rate': 6.150525680346734e-06, 'epoch': 0.4444070364447437}
{'loss': 0.3167, 'grad_norm': 1.0999609231948853, 'learning_rate': 6.044178419413453e-06, 'epoch': 0.4511404763908762}
{'loss': 0.3043, 'grad_norm': 1.0567206144332886, 'learning_rate': 5.93733487559881e-06, 'epoch': 0.4578739163370087}
{'loss': 0.3199, 'grad_norm': 1.0281343460083008, 'learning_rate': 5.830045830091911e-06, 'epoch': 0.46460735628314115}
{'loss': 0.3237, 'grad_norm': 1.0692158937454224, 'learning_rate': 5.722362275822372e-06, 'epoch': 0.4713407962292736}
{'loss': 0.3175, 'grad_norm': 1.0340417623519897, 'learning_rate': 5.614335393224099e-06, 'epoch': 0.4780742361754061}
{'loss': 0.3147, 'grad_norm': 1.1401821374893188, 'learning_rate': 5.506016525909996e-06, 'epoch': 0.4848076761215386}
{'loss': 0.3274, 'grad_norm': 1.1022671461105347, 'learning_rate': 5.39745715626906e-06, 'epoch': 0.4915411160676711}
{'loss': 0.3183, 'grad_norm': 0.9718429446220398, 'learning_rate': 5.2887088809975675e-06, 'epoch': 0.49827455601380355}
{'loss': 0.3081, 'grad_norm': 1.3084443807601929, 'learning_rate': 5.179823386575908e-06, 'epoch': 0.5050079959599361}
{'loss': 0.3185, 'grad_norm': 1.1223914623260498, 'learning_rate': 5.070852424702739e-06, 'epoch': 0.5117414359060685}
{'loss': 0.3303, 'grad_norm': 1.134765625, 'learning_rate': 4.961847787698166e-06, 'epoch': 0.518474875852201}
{'loss': 0.3167, 'grad_norm': 1.318971872329712, 'learning_rate': 4.852861283887596e-06, 'epoch': 0.5252083157983335}
{'loss': 0.3077, 'grad_norm': 1.1155527830123901, 'learning_rate': 4.743944712977988e-06, 'epoch': 0.531941755744466}
