The tokenizer you are loading from 'ckpts/exp-04/final' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
[data] kept 19209, dropped 1 over 1536 (0.005%); len p50=393 p99=1137 max=1499; tokens=8.8M
[data] 1508 micro-batches, mean size 12.7, optim steps ~188
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.31it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.66it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.60it/s]
The following generation flags are not valid and may be ignored: ['temperature']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
[model] trainable 3.88B frozen 0.42B
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
{'loss': 0.2054, 'grad_norm': 1.5239962339401245, 'learning_rate': 5.996022269654491e-06, 'epoch': 0.05305039787798409}
{'loss': 0.2052, 'grad_norm': 1.0825222730636597, 'learning_rate': 5.9256001207337475e-06, 'epoch': 0.10610079575596817}
{'loss': 0.2024, 'grad_norm': 1.2014108896255493, 'learning_rate': 5.769168620652529e-06, 'epoch': 0.15915119363395225}
{'loss': 0.2114, 'grad_norm': 1.4805229902267456, 'learning_rate': 5.531326679469557e-06, 'epoch': 0.21220159151193635}
{'loss': 0.2164, 'grad_norm': 1.1360368728637695, 'learning_rate': 5.219066582594901e-06, 'epoch': 0.26525198938992045}
{'loss': 0.2083, 'grad_norm': 0.9094035029411316, 'learning_rate': 4.841568425467836e-06, 'epoch': 0.3183023872679045}
{'loss': 0.2071, 'grad_norm': 1.0314606428146362, 'learning_rate': 4.40993022908196e-06, 'epoch': 0.3713527851458886}
{'loss': 0.2095, 'grad_norm': 1.126340389251709, 'learning_rate': 3.936841670657384e-06, 'epoch': 0.4244031830238727}
{'loss': 0.2045, 'grad_norm': 1.3863340616226196, 'learning_rate': 3.4362110214110696e-06, 'epoch': 0.47745358090185674}
{'loss': 0.2063, 'grad_norm': 1.0783357620239258, 'learning_rate': 2.9227562590350346e-06, 'epoch': 0.5305039787798409}
{'loss': 0.2097, 'grad_norm': 0.9673569798469543, 'learning_rate': 2.4115723757154093e-06, 'epoch': 0.583554376657825}
{'loss': 0.2106, 'grad_norm': 1.0036516189575195, 'learning_rate': 1.9176876023496505e-06, 'epoch': 0.636604774535809}
{'loss': 0.2174, 'grad_norm': 1.1049374341964722, 'learning_rate': 1.4556215954705088e-06, 'epoch': 0.6896551724137931}
{'loss': 0.2075, 'grad_norm': 1.081382155418396, 'learning_rate': 1.0389585756839818e-06, 'epoch': 0.7427055702917772}
{'loss': 0.1984, 'grad_norm': 1.009503960609436, 'learning_rate': 6.799479668708107e-07, 'epoch': 0.7957559681697612}
{'loss': 0.2016, 'grad_norm': 1.142348051071167, 'learning_rate': 3.8914427690953424e-07, 'epoch': 0.8488063660477454}
{'loss': 0.2001, 'grad_norm': 1.0563801527023315, 'learning_rate': 1.7509680702262254e-07, 'epoch': 0.9018567639257294}
{'loss': 0.2065, 'grad_norm': 0.9435216188430786, 'learning_rate': 4.409831194167302e-08, 'epoch': 0.9549071618037135}
{'train_runtime': 1162.3716, 'train_samples_per_second': 16.526, 'train_steps_per_second': 0.163, 'train_loss': 0.20668585401363473, 'epoch': 1.0}
saved ckpts/exp-07/final
