[data] 7473 examples, truncated 0 (0.00%)
[render] supervised ends with EOT=106: OK; last ids [236832, 236778, 106]
[lora] trainable params: 119.21M
trainable params: 119,209,984 || all params: 4,419,289,456 || trainable%: 2.6975
{'loss': 0.6914, 'grad_norm': 0.6251035332679749, 'learning_rate': 0.00017272727272727275, 'epoch': 0.09}
{'loss': 0.5604, 'grad_norm': 0.8595411777496338, 'learning_rate': 0.0001996917333733128, 'epoch': 0.17}
{'loss': 0.559, 'grad_norm': 0.6872790455818176, 'learning_rate': 0.0001985425368091216, 'epoch': 0.26}
{'loss': 0.5371, 'grad_norm': 0.5229884386062622, 'learning_rate': 0.0001965526100659948, 'epoch': 0.34}
{'loss': 0.5324, 'grad_norm': 0.8071630001068115, 'learning_rate': 0.0001937389304972764, 'epoch': 0.43}
{'loss': 0.5281, 'grad_norm': 0.5434459447860718, 'learning_rate': 0.0001901255034249712, 'epoch': 0.51}
{'loss': 0.52, 'grad_norm': 1.3533902168273926, 'learning_rate': 0.00018574315733480164, 'epoch': 0.6}
{'loss': 0.5145, 'grad_norm': 0.6126965880393982, 'learning_rate': 0.0001806292808584373, 'epoch': 0.68}
{'loss': 0.5218, 'grad_norm': 0.5616414546966553, 'learning_rate': 0.0001748275037868725, 'epoch': 0.77}
{'loss': 0.5118, 'grad_norm': 0.5822599530220032, 'learning_rate': 0.0001683873248364328, 'epoch': 0.86}
{'loss': 0.5061, 'grad_norm': 0.5861209034919739, 'learning_rate': 0.00016136368934318028, 'epoch': 0.94}
{'loss': 0.4632, 'grad_norm': 0.4474945068359375, 'learning_rate': 0.00015381652048867918, 'epoch': 1.03}
