=== [exp-06] training start Sat Sep  5 03:17:00 UTC 2026 ===
dataset: 27741 rows, 0 truncated
loading model...
frozen params: 419.8M
save-contract precheck: {'input_hash': '0e9a34cbe094d08a82df63f7ee539a5dc1a0cd63364615a07c2162375929a340', 'migration': {}, 'normalization': {}, 'status': 'valid', 'effective_hash': '0e9a34cbe094d08a82df63f7ee539a5dc1a0cd63364615a07c2162375929a340', 'serializer_hash': '0e9a34cbe094d08a82df63f7ee539a5dc1a0cd63364615a07c2162375929a340', 'policy': 'inactive_sampling_v1', 'library': {'transformers': '4.57.3', 'source_sha256': {'generation/configuration_utils.py': 'd83f2281f939402be1633a29f3c760e29f5d2f284258d8ed99693b873744074b', 'configuration_utils.py': '08a3889c1b8a73d340a37c93f72346ee0e385e339b7a72a03b5c026d4943baf7', 'modeling_utils.py': 'bf1c6b2a43cf7c36fb79f37c981424dd6ae78eb863fcaa5d2a37e76c9828611d', 'trainer.py': 'c3eac8fa28bda6330fd4dee131e7fe7d9bdc0fa35d9de944fce52cb97b379bab'}}, 'coverage': 'configuration_only_at_check_time'}
{'loss': 0.9441, 'grad_norm': 17.0, 'learning_rate': 1.8095238095238097e-06, 'epoch': 0.01}
{'loss': 0.5838, 'grad_norm': 6.21875, 'learning_rate': 3.7142857142857146e-06, 'epoch': 0.02}
{'loss': 0.455, 'grad_norm': 6.78125, 'learning_rate': 5.619047619047619e-06, 'epoch': 0.03}
{'loss': 0.4397, 'grad_norm': 6.5, 'learning_rate': 7.523809523809524e-06, 'epoch': 0.05}
{'loss': 0.4315, 'grad_norm': 7.15625, 'learning_rate': 9.42857142857143e-06, 'epoch': 0.06}
{'loss': 0.4476, 'grad_norm': 6.0625, 'learning_rate': 9.999572401768278e-06, 'epoch': 0.07}
{'loss': 0.4081, 'grad_norm': 6.9375, 'learning_rate': 9.99747821914313e-06, 'epoch': 0.08}
{'loss': 0.4151, 'grad_norm': 6.34375, 'learning_rate': 9.993639643744071e-06, 'epoch': 0.09}
{'loss': 0.4137, 'grad_norm': 6.4375, 'learning_rate': 9.988058015443517e-06, 'epoch': 0.1}
{'loss': 0.3971, 'grad_norm': 6.5625, 'learning_rate': 9.980735282534512e-06, 'epoch': 0.12}
{'loss': 0.3984, 'grad_norm': 7.46875, 'learning_rate': 9.971674001050687e-06, 'epoch': 0.13}
{'loss': 0.3987, 'grad_norm': 5.78125, 'learning_rate': 9.960877333874045e-06, 'epoch': 0.14}
{'loss': 0.4047, 'grad_norm': 6.90625, 'learning_rate': 9.948349049630959e-06, 'epoch': 0.15}
{'loss': 0.3861, 'grad_norm': 5.5, 'learning_rate': 9.934093521376707e-06, 'epoch': 0.16}
{'loss': 0.3511, 'grad_norm': 6.375, 'learning_rate': 9.918115725069038e-06, 'epoch': 0.17}
{'loss': 0.3762, 'grad_norm': 6.28125, 'learning_rate': 9.900421237831293e-06, 'epoch': 0.18}
