=== [exp-08] training start Sat Sep  5 04:38:32 UTC 2026 ===
dataset: 32165 rows, 0 truncated
loading model...
frozen params: 419.8M
save-contract precheck: {'input_hash': '0e9a34cbe094d08a82df63f7ee539a5dc1a0cd63364615a07c2162375929a340', 'migration': {}, 'normalization': {}, 'status': 'valid', 'effective_hash': '0e9a34cbe094d08a82df63f7ee539a5dc1a0cd63364615a07c2162375929a340', 'serializer_hash': '0e9a34cbe094d08a82df63f7ee539a5dc1a0cd63364615a07c2162375929a340', 'policy': 'inactive_sampling_v1', 'library': {'transformers': '4.57.3', 'source_sha256': {'generation/configuration_utils.py': 'd83f2281f939402be1633a29f3c760e29f5d2f284258d8ed99693b873744074b', 'configuration_utils.py': '08a3889c1b8a73d340a37c93f72346ee0e385e339b7a72a03b5c026d4943baf7', 'modeling_utils.py': 'bf1c6b2a43cf7c36fb79f37c981424dd6ae78eb863fcaa5d2a37e76c9828611d', 'trainer.py': 'c3eac8fa28bda6330fd4dee131e7fe7d9bdc0fa35d9de944fce52cb97b379bab'}}, 'coverage': 'configuration_only_at_check_time'}
{'loss': 0.9483, 'grad_norm': 19.375, 'learning_rate': 1.5702479338842977e-06, 'epoch': 0.01}
{'loss': 0.6057, 'grad_norm': 6.40625, 'learning_rate': 3.2231404958677685e-06, 'epoch': 0.02}
{'loss': 0.4698, 'grad_norm': 6.71875, 'learning_rate': 4.87603305785124e-06, 'epoch': 0.03}
{'loss': 0.4379, 'grad_norm': 7.46875, 'learning_rate': 6.528925619834712e-06, 'epoch': 0.04}
{'loss': 0.4386, 'grad_norm': 6.65625, 'learning_rate': 8.181818181818183e-06, 'epoch': 0.05}
{'loss': 0.3885, 'grad_norm': 6.34375, 'learning_rate': 9.834710743801654e-06, 'epoch': 0.06}
{'loss': 0.3955, 'grad_norm': 6.0625, 'learning_rate': 9.999474678399589e-06, 'epoch': 0.07}
{'loss': 0.3824, 'grad_norm': 5.71875, 'learning_rate': 9.99765889359701e-06, 'epoch': 0.08}
{'loss': 0.4035, 'grad_norm': 7.4375, 'learning_rate': 9.994546631073706e-06, 'epoch': 0.09}
{'loss': 0.397, 'grad_norm': 6.03125, 'learning_rate': 9.990138698203512e-06, 'epoch': 0.1}
{'loss': 0.3846, 'grad_norm': 6.9375, 'learning_rate': 9.984436238479183e-06, 'epoch': 0.11}
{'loss': 0.3593, 'grad_norm': 5.09375, 'learning_rate': 9.977440731215766e-06, 'epoch': 0.12}
{'loss': 0.3648, 'grad_norm': 5.65625, 'learning_rate': 9.969153991166829e-06, 'epoch': 0.13}
{'loss': 0.3631, 'grad_norm': 6.78125, 'learning_rate': 9.959578168053687e-06, 'epoch': 0.14}
