trainable params: 3.880B | frozen: 0.420B
{'loss': 0.8239, 'grad_norm': 4.65625, 'learning_rate': 8.636363636363637e-06, 'epoch': 0.09}
{'loss': 0.57, 'grad_norm': 4.59375, 'learning_rate': 9.984586668665641e-06, 'epoch': 0.17}
{'loss': 0.5575, 'grad_norm': 3.90625, 'learning_rate': 9.92712684045608e-06, 'epoch': 0.26}
{'loss': 0.5415, 'grad_norm': 3.921875, 'learning_rate': 9.827630503299741e-06, 'epoch': 0.34}
{'loss': 0.5349, 'grad_norm': 3.90625, 'learning_rate': 9.686946524863821e-06, 'epoch': 0.43}
{'loss': 0.5272, 'grad_norm': 3.71875, 'learning_rate': 9.50627517124856e-06, 'epoch': 0.51}
{'loss': 0.5198, 'grad_norm': 3.921875, 'learning_rate': 9.287157866740082e-06, 'epoch': 0.6}
{'loss': 0.5119, 'grad_norm': 3.71875, 'learning_rate': 9.031464042921866e-06, 'epoch': 0.68}
{'loss': 0.5225, 'grad_norm': 3.625, 'learning_rate': 8.741375189343625e-06, 'epoch': 0.77}
{'loss': 0.5134, 'grad_norm': 3.640625, 'learning_rate': 8.41936624182164e-06, 'epoch': 0.85}
{'loss': 0.5076, 'grad_norm': 3.578125, 'learning_rate': 8.068184467159014e-06, 'epoch': 0.94}
{'loss': 0.4761, 'grad_norm': 3.1875, 'learning_rate': 7.69082602443396e-06, 'epoch': 1.03}
{'loss': 0.4342, 'grad_norm': 3.734375, 'learning_rate': 7.290510402826967e-06, 'epoch': 1.11}
{'loss': 0.4181, 'grad_norm': 3.46875, 'learning_rate': 6.8706529540742775e-06, 'epoch': 1.2}
{'loss': 0.4111, 'grad_norm': 3.59375, 'learning_rate': 6.43483575389108e-06, 'epoch': 1.28}
{'loss': 0.4181, 'grad_norm': 4.28125, 'learning_rate': 5.986777040964521e-06, 'epoch': 1.37}
{'loss': 0.4329, 'grad_norm': 4.125, 'learning_rate': 5.530299494252238e-06, 'epoch': 1.45}
{'loss': 0.4243, 'grad_norm': 3.890625, 'learning_rate': 5.0692976192333295e-06, 'epoch': 1.54}
{'loss': 0.4322, 'grad_norm': 4.125, 'learning_rate': 4.6077045213607765e-06, 'epoch': 1.62}
{'loss': 0.4359, 'grad_norm': 3.984375, 'learning_rate': 4.14945835019248e-06, 'epoch': 1.71}
{'loss': 0.4309, 'grad_norm': 3.6875, 'learning_rate': 3.6984687004878052e-06, 'epoch': 1.79}
{'loss': 0.4194, 'grad_norm': 3.84375, 'learning_rate': 3.2585832569235576e-06, 'epoch': 1.88}
{'loss': 0.4247, 'grad_norm': 4.03125, 'learning_rate': 2.8335549670049866e-06, 'epoch': 1.97}
{'loss': 0.409, 'grad_norm': 3.5, 'learning_rate': 2.4270100222409275e-06, 'epoch': 2.05}
{'loss': 0.3979, 'grad_norm': 3.453125, 'learning_rate': 2.0424169207563954e-06, 'epoch': 2.14}
{'loss': 0.3824, 'grad_norm': 3.5625, 'learning_rate': 1.6830568752895455e-06, 'epoch': 2.22}
{'loss': 0.3762, 'grad_norm': 3.578125, 'learning_rate': 1.351995819041521e-06, 'epoch': 2.31}
{'loss': 0.3927, 'grad_norm': 3.65625, 'learning_rate': 1.0520582482153874e-06, 'epoch': 2.39}
{'loss': 0.3959, 'grad_norm': 3.796875, 'learning_rate': 7.858031244104247e-07, 'epoch': 2.48}
{'loss': 0.3876, 'grad_norm': 3.640625, 'learning_rate': 5.555020424640267e-07, 'epoch': 2.56}
{'loss': 0.3796, 'grad_norm': 3.78125, 'learning_rate': 3.6311985000548223e-07, 'epoch': 2.65}
{'loss': 0.3735, 'grad_norm': 3.984375, 'learning_rate': 2.102978840687997e-07, 'epoch': 2.74}
{'loss': 0.3681, 'grad_norm': 3.609375, 'learning_rate': 9.833996778384259e-08, 'epoch': 2.82}
{'loss': 0.4026, 'grad_norm': 4.03125, 'learning_rate': 2.8201286617103863e-08, 'epoch': 2.91}
{'loss': 0.389, 'grad_norm': 4.09375, 'learning_rate': 4.802390660968437e-10, 'epoch': 2.99}
{'train_runtime': 1960.0732, 'train_samples_per_second': 11.438, 'train_steps_per_second': 0.358, 'train_loss': 0.4552950122926989, 'epoch': 3.0}
rows truncated at max_seq_len=768: 0
SAVED_OK /home/ben/task/ckpts/exp-02
