trainable params: 3.880B | frozen: 0.420B
{'loss': 0.5687, 'grad_norm': 7.5, 'learning_rate': 2.5e-06, 'epoch': 0.02}
{'loss': 0.3052, 'grad_norm': 4.21875, 'learning_rate': 5.131578947368422e-06, 'epoch': 0.03}
{'loss': 0.2482, 'grad_norm': 3.21875, 'learning_rate': 7.763157894736843e-06, 'epoch': 0.05}
{'loss': 0.2343, 'grad_norm': 2.40625, 'learning_rate': 9.99996294396908e-06, 'epoch': 0.06}
{'loss': 0.2131, 'grad_norm': 2.375, 'learning_rate': 9.997822084287733e-06, 'epoch': 0.08}
{'loss': 0.2173, 'grad_norm': 2.484375, 'learning_rate': 9.992388966622271e-06, 'epoch': 0.1}
{'loss': 0.2222, 'grad_norm': 2.578125, 'learning_rate': 9.983667169976651e-06, 'epoch': 0.11}
{'loss': 0.2041, 'grad_norm': 2.71875, 'learning_rate': 9.971662439734392e-06, 'epoch': 0.13}
{'loss': 0.2093, 'grad_norm': 2.46875, 'learning_rate': 9.956382683873875e-06, 'epoch': 0.14}
{'loss': 0.2069, 'grad_norm': 2.75, 'learning_rate': 9.937837967759047e-06, 'epoch': 0.16}
{'loss': 0.2101, 'grad_norm': 2.71875, 'learning_rate': 9.916040507508983e-06, 'epoch': 0.17}
{'loss': 0.1954, 'grad_norm': 2.40625, 'learning_rate': 9.891004661950654e-06, 'epoch': 0.19}
{'loss': 0.1922, 'grad_norm': 2.109375, 'learning_rate': 9.862746923160215e-06, 'epoch': 0.21}
{'loss': 0.2072, 'grad_norm': 2.375, 'learning_rate': 9.831285905599044e-06, 'epoch': 0.22}
{'loss': 0.1942, 'grad_norm': 2.390625, 'learning_rate': 9.796642333851668e-06, 'epoch': 0.24}
{'loss': 0.1956, 'grad_norm': 2.3125, 'learning_rate': 9.758839028973693e-06, 'epoch': 0.25}
{'loss': 0.1855, 'grad_norm': 2.1875, 'learning_rate': 9.717900893458685e-06, 'epoch': 0.27}
{'loss': 0.1927, 'grad_norm': 2.359375, 'learning_rate': 9.673854894833947e-06, 'epoch': 0.29}
{'loss': 0.1891, 'grad_norm': 2.296875, 'learning_rate': 9.626730047895962e-06, 'epoch': 0.3}
{'loss': 0.1921, 'grad_norm': 2.40625, 'learning_rate': 9.576557395597237e-06, 'epoch': 0.32}
{'loss': 0.1955, 'grad_norm': 2.34375, 'learning_rate': 9.523369988597099e-06, 'epoch': 0.33}
{'loss': 0.1774, 'grad_norm': 2.234375, 'learning_rate': 9.467202863489974e-06, 'epoch': 0.35}
{'loss': 0.1879, 'grad_norm': 2.171875, 'learning_rate': 9.40809301972541e-06, 'epoch': 0.36}
{'loss': 0.1859, 'grad_norm': 2.5625, 'learning_rate': 9.34607939523513e-06, 'epoch': 0.38}
{'loss': 0.1748, 'grad_norm': 2.421875, 'learning_rate': 9.281202840783109e-06, 'epoch': 0.4}
{'loss': 0.1868, 'grad_norm': 2.453125, 'learning_rate': 9.213506093055601e-06, 'epoch': 0.41}
{'loss': 0.1733, 'grad_norm': 2.140625, 'learning_rate': 9.14303374650884e-06, 'epoch': 0.43}
{'loss': 0.17, 'grad_norm': 2.015625, 'learning_rate': 9.069832223992955e-06, 'epoch': 0.44}
{'loss': 0.1893, 'grad_norm': 2.171875, 'learning_rate': 8.993949746171445e-06, 'epoch': 0.46}
{'loss': 0.1828, 'grad_norm': 2.015625, 'learning_rate': 8.915436299756366e-06, 'epoch': 0.48}
{'loss': 0.1835, 'grad_norm': 2.171875, 'learning_rate': 8.834343604580175e-06, 'epoch': 0.49}
{'loss': 0.1916, 'grad_norm': 2.109375, 'learning_rate': 8.750725079525864e-06, 'epoch': 0.51}
{'loss': 0.1867, 'grad_norm': 2.046875, 'learning_rate': 8.664635807337896e-06, 'epoch': 0.52}
{'loss': 0.1795, 'grad_norm': 2.28125, 'learning_rate': 8.576132498337069e-06, 'epoch': 0.54}
{'loss': 0.1815, 'grad_norm': 2.125, 'learning_rate': 8.485273453063252e-06, 'epoch': 0.55}
{'loss': 0.1825, 'grad_norm': 2.140625, 'learning_rate': 8.392118523870569e-06, 'epoch': 0.57}
{'loss': 0.1774, 'grad_norm': 2.265625, 'learning_rate': 8.296729075500345e-06, 'epoch': 0.59}
{'loss': 0.1864, 'grad_norm': 2.265625, 'learning_rate': 8.19916794465779e-06, 'epoch': 0.6}
{'loss': 0.192, 'grad_norm': 2.0625, 'learning_rate': 8.099499398619034e-06, 'epoch': 0.62}
{'loss': 0.174, 'grad_norm': 2.046875, 'learning_rate': 7.997789092895809e-06, 'epoch': 0.63}
{'loss': 0.173, 'grad_norm': 1.9921875, 'learning_rate': 7.894104027985615e-06, 'epoch': 0.65}
{'loss': 0.1766, 'grad_norm': 2.0625, 'learning_rate': 7.788512505235925e-06, 'epoch': 0.67}
{'loss': 0.1763, 'grad_norm': 2.0, 'learning_rate': 7.68108408185145e-06, 'epoch': 0.68}
{'loss': 0.1707, 'grad_norm': 2.046875, 'learning_rate': 7.57188952507413e-06, 'epoch': 0.7}
{'loss': 0.1815, 'grad_norm': 2.25, 'learning_rate': 7.4610007655660225e-06, 'epoch': 0.71}
