trainable params: 3.880B | frozen: 0.420B
{'loss': 0.786, 'grad_norm': 5.71875, 'learning_rate': 4.130434782608696e-06, 'epoch': 0.03}
{'loss': 0.4408, 'grad_norm': 3.921875, 'learning_rate': 8.478260869565218e-06, 'epoch': 0.05}
{'loss': 0.3834, 'grad_norm': 4.625, 'learning_rate': 9.998049241664596e-06, 'epoch': 0.08}
{'loss': 0.3721, 'grad_norm': 4.53125, 'learning_rate': 9.98743417822182e-06, 'epoch': 0.11}
{'loss': 0.3676, 'grad_norm': 4.53125, 'learning_rate': 9.967608781985145e-06, 'epoch': 0.13}
{'loss': 0.3456, 'grad_norm': 4.5, 'learning_rate': 9.938609664665237e-06, 'epoch': 0.16}
{'loss': 0.3434, 'grad_norm': 4.84375, 'learning_rate': 9.900490379153564e-06, 'epoch': 0.19}
{'loss': 0.3297, 'grad_norm': 4.28125, 'learning_rate': 9.853321320625859e-06, 'epoch': 0.21}
{'loss': 0.3184, 'grad_norm': 4.875, 'learning_rate': 9.797189596542809e-06, 'epoch': 0.24}
{'loss': 0.3394, 'grad_norm': 3.90625, 'learning_rate': 9.732198865788047e-06, 'epoch': 0.27}
{'loss': 0.3164, 'grad_norm': 4.0, 'learning_rate': 9.658469147240494e-06, 'epoch': 0.29}
{'loss': 0.325, 'grad_norm': 4.5, 'learning_rate': 9.576136598134584e-06, 'epoch': 0.32}
{'loss': 0.3301, 'grad_norm': 4.25, 'learning_rate': 9.485353262617656e-06, 'epoch': 0.35}
{'loss': 0.316, 'grad_norm': 3.828125, 'learning_rate': 9.386286790968863e-06, 'epoch': 0.37}
{'loss': 0.3217, 'grad_norm': 4.25, 'learning_rate': 9.279120129998131e-06, 'epoch': 0.4}
{'loss': 0.3264, 'grad_norm': 3.78125, 'learning_rate': 9.164051185196878e-06, 'epoch': 0.42}
{'loss': 0.3221, 'grad_norm': 3.890625, 'learning_rate': 9.041292455264428e-06, 'epoch': 0.45}
{'loss': 0.3246, 'grad_norm': 4.15625, 'learning_rate': 8.911070639685055e-06, 'epoch': 0.48}
{'loss': 0.3285, 'grad_norm': 4.65625, 'learning_rate': 8.7736262200803e-06, 'epoch': 0.5}
{'loss': 0.3111, 'grad_norm': 4.3125, 'learning_rate': 8.62921301610973e-06, 'epoch': 0.53}
{'loss': 0.3242, 'grad_norm': 4.1875, 'learning_rate': 8.47809771674023e-06, 'epoch': 0.56}
{'loss': 0.303, 'grad_norm': 4.40625, 'learning_rate': 8.320559387749453e-06, 'epoch': 0.58}
{'loss': 0.3025, 'grad_norm': 4.53125, 'learning_rate': 8.156888956372919e-06, 'epoch': 0.61}
{'loss': 0.3083, 'grad_norm': 4.46875, 'learning_rate': 7.987388674046462e-06, 'epoch': 0.64}
{'loss': 0.3064, 'grad_norm': 3.9375, 'learning_rate': 7.812371558236199e-06, 'epoch': 0.66}
{'loss': 0.2974, 'grad_norm': 3.640625, 'learning_rate': 7.63216081438678e-06, 'epoch': 0.69}
{'loss': 0.3243, 'grad_norm': 3.40625, 'learning_rate': 7.447089239055428e-06, 'epoch': 0.72}
{'loss': 0.2941, 'grad_norm': 3.765625, 'learning_rate': 7.2574986053339956e-06, 'epoch': 0.74}
{'loss': 0.3011, 'grad_norm': 4.4375, 'learning_rate': 7.0637390316939805e-06, 'epoch': 0.77}
{'loss': 0.3031, 'grad_norm': 3.8125, 'learning_rate': 6.866168335420073e-06, 'epoch': 0.8}
{'loss': 0.2989, 'grad_norm': 3.828125, 'learning_rate': 6.665151371826246e-06, 'epoch': 0.82}
{'loss': 0.308, 'grad_norm': 4.15625, 'learning_rate': 6.461059360474654e-06, 'epoch': 0.85}
{'loss': 0.294, 'grad_norm': 4.15625, 'learning_rate': 6.254269199641637e-06, 'epoch': 0.88}
{'loss': 0.3027, 'grad_norm': 3.75, 'learning_rate': 6.045162770296791e-06, 'epoch': 0.9}
