trainable params: 3.880B | frozen: 0.420B
{'loss': 0.6784, 'grad_norm': 4.9375, 'learning_rate': 8.260869565217392e-06, 'epoch': 0.03}
{'loss': 0.4073, 'grad_norm': 4.0625, 'learning_rate': 9.988183908758387e-06, 'epoch': 0.05}
{'loss': 0.3708, 'grad_norm': 4.34375, 'learning_rate': 9.940276738124718e-06, 'epoch': 0.08}
{'loss': 0.3644, 'grad_norm': 4.875, 'learning_rate': 9.855893428304357e-06, 'epoch': 0.11}
{'loss': 0.3617, 'grad_norm': 4.59375, 'learning_rate': 9.735657016733706e-06, 'epoch': 0.13}
{'loss': 0.3418, 'grad_norm': 4.5, 'learning_rate': 9.58045525936577e-06, 'epoch': 0.16}
{'loss': 0.3409, 'grad_norm': 4.875, 'learning_rate': 9.391434075994896e-06, 'epoch': 0.19}
{'loss': 0.3277, 'grad_norm': 4.34375, 'learning_rate': 9.16998908944939e-06, 'epoch': 0.21}
{'loss': 0.3174, 'grad_norm': 5.03125, 'learning_rate': 8.917755321121695e-06, 'epoch': 0.24}
{'loss': 0.337, 'grad_norm': 3.90625, 'learning_rate': 8.636595118918378e-06, 'epoch': 0.27}
{'loss': 0.3147, 'grad_norm': 3.96875, 'learning_rate': 8.328584406762927e-06, 'epoch': 0.29}
{'loss': 0.3228, 'grad_norm': 4.8125, 'learning_rate': 7.99599735717707e-06, 'epoch': 0.32}
{'loss': 0.3271, 'grad_norm': 4.28125, 'learning_rate': 7.641289600109381e-06, 'epoch': 0.35}
{'loss': 0.3136, 'grad_norm': 4.1875, 'learning_rate': 7.267080091987454e-06, 'epoch': 0.37}
{'loss': 0.3187, 'grad_norm': 4.53125, 'learning_rate': 6.876131778862044e-06, 'epoch': 0.4}
{'loss': 0.3229, 'grad_norm': 4.34375, 'learning_rate': 6.471331196415316e-06, 'epoch': 0.42}
{'loss': 0.318, 'grad_norm': 4.25, 'learning_rate': 6.0556671574549055e-06, 'epoch': 0.45}
{'loss': 0.3197, 'grad_norm': 4.46875, 'learning_rate': 5.632208684252991e-06, 'epoch': 0.48}
{'loss': 0.3248, 'grad_norm': 4.46875, 'learning_rate': 5.204082348665174e-06, 'epoch': 0.5}
{'loss': 0.3069, 'grad_norm': 4.5, 'learning_rate': 4.774449187336603e-06, 'epoch': 0.53}
{'loss': 0.3199, 'grad_norm': 4.25, 'learning_rate': 4.346481362440074e-06, 'epoch': 0.56}
{'loss': 0.2998, 'grad_norm': 4.9375, 'learning_rate': 3.923338740269696e-06, 'epoch': 0.58}
{'loss': 0.298, 'grad_norm': 4.78125, 'learning_rate': 3.508145560620173e-06, 'epoch': 0.61}
{'loss': 0.3031, 'grad_norm': 4.53125, 'learning_rate': 3.1039673692115253e-06, 'epoch': 0.64}
{'loss': 0.3025, 'grad_norm': 4.3125, 'learning_rate': 2.7137883834768076e-06, 'epoch': 0.66}
{'loss': 0.2918, 'grad_norm': 3.71875, 'learning_rate': 2.340489458830772e-06, 'epoch': 0.69}
{'loss': 0.3214, 'grad_norm': 3.828125, 'learning_rate': 1.9868268181037186e-06, 'epoch': 0.72}
{'loss': 0.2927, 'grad_norm': 4.0625, 'learning_rate': 1.655411701190115e-06, 'epoch': 0.74}
{'loss': 0.3001, 'grad_norm': 4.5625, 'learning_rate': 1.3486910851671374e-06, 'epoch': 0.77}
{'loss': 0.3013, 'grad_norm': 4.09375, 'learning_rate': 1.068929617234643e-06, 'epoch': 0.8}
{'loss': 0.2988, 'grad_norm': 4.28125, 'learning_rate': 8.181928938732081e-07, 'epoch': 0.82}
{'loss': 0.3089, 'grad_norm': 4.21875, 'learning_rate': 5.98332209677322e-07, 'epoch': 0.85}
{'loss': 0.2943, 'grad_norm': 4.34375, 'learning_rate': 4.109708884694158e-07, 'epoch': 0.88}
{'loss': 0.3047, 'grad_norm': 3.828125, 'learning_rate': 2.5749229761792947e-07, 'epoch': 0.9}
{'loss': 0.3311, 'grad_norm': 5.1875, 'learning_rate': 1.3902963405470148e-07, 'epoch': 0.93}
{'loss': 0.3038, 'grad_norm': 3.75, 'learning_rate': 5.6457557405824036e-08, 'epoch': 0.96}
{'loss': 0.3131, 'grad_norm': 4.28125, 'learning_rate': 1.0385732012067606e-08, 'epoch': 0.98}
{'train_runtime': 2526.9659, 'train_samples_per_second': 9.54, 'train_steps_per_second': 0.298, 'train_loss': 0.33002207133751016, 'epoch': 1.0}
rows truncated at max_seq_len=768: 0
SAVED_OK /home/ben/task/ckpts/exp-07
