trainable params: 3.880B | frozen: 0.420B
{'loss': 0.7227, 'grad_norm': 4.78125, 'learning_rate': 6.333333333333333e-06, 'epoch': 0.04}
{'loss': 0.4615, 'grad_norm': 4.40625, 'learning_rate': 9.997876019358083e-06, 'epoch': 0.08}
{'loss': 0.4208, 'grad_norm': 4.84375, 'learning_rate': 9.97796195883804e-06, 'epoch': 0.12}
{'loss': 0.4174, 'grad_norm': 4.34375, 'learning_rate': 9.93716859589851e-06, 'epoch': 0.16}
{'loss': 0.3967, 'grad_norm': 4.84375, 'learning_rate': 9.875667032080354e-06, 'epoch': 0.2}
{'loss': 0.395, 'grad_norm': 4.21875, 'learning_rate': 9.79371522631553e-06, 'epoch': 0.24}
{'loss': 0.3674, 'grad_norm': 8.8125, 'learning_rate': 9.691656912957686e-06, 'epoch': 0.28}
{'loss': 0.3896, 'grad_norm': 3.40625, 'learning_rate': 9.569920160040815e-06, 'epoch': 0.32}
{'loss': 0.3774, 'grad_norm': 4.5625, 'learning_rate': 9.429015573813163e-06, 'epoch': 0.36}
{'loss': 0.3525, 'grad_norm': 4.1875, 'learning_rate': 9.269534157077177e-06, 'epoch': 0.4}
{'loss': 0.3669, 'grad_norm': 4.59375, 'learning_rate': 9.092144830318357e-06, 'epoch': 0.44}
{'loss': 0.3653, 'grad_norm': 4.5, 'learning_rate': 8.897591626020284e-06, 'epoch': 0.48}
{'loss': 0.3489, 'grad_norm': 4.125, 'learning_rate': 8.686690567933803e-06, 'epoch': 0.52}
{'loss': 0.3654, 'grad_norm': 4.9375, 'learning_rate': 8.460326248389825e-06, 'epoch': 0.56}
{'loss': 0.3626, 'grad_norm': 5.0, 'learning_rate': 8.219448118011687e-06, 'epoch': 0.6}
{'loss': 0.3795, 'grad_norm': 5.0, 'learning_rate': 7.965066503389264e-06, 'epoch': 0.64}
{'loss': 0.3698, 'grad_norm': 4.5625, 'learning_rate': 7.698248369418146e-06, 'epoch': 0.68}
{'loss': 0.3578, 'grad_norm': 4.9375, 'learning_rate': 7.420112844078066e-06, 'epoch': 0.72}
{'loss': 0.3614, 'grad_norm': 4.5, 'learning_rate': 7.1318265244212305e-06, 'epoch': 0.76}
{'loss': 0.3456, 'grad_norm': 3.6875, 'learning_rate': 6.834598583458862e-06, 'epoch': 0.8}
{'loss': 0.36, 'grad_norm': 4.0625, 'learning_rate': 6.52967569846937e-06, 'epoch': 0.84}
{'loss': 0.3611, 'grad_norm': 9.0, 'learning_rate': 6.218336822000598e-06, 'epoch': 0.88}
{'loss': 0.3553, 'grad_norm': 4.46875, 'learning_rate': 5.9018878174983674e-06, 'epoch': 0.92}
{'loss': 0.3521, 'grad_norm': 5.6875, 'learning_rate': 5.581655982061367e-06, 'epoch': 0.96}
{'loss': 0.3516, 'grad_norm': 9.0, 'learning_rate': 5.258984479295853e-06, 'epoch': 1.0}
{'loss': 0.3042, 'grad_norm': 4.6875, 'learning_rate': 4.935226705620699e-06, 'epoch': 1.04}
{'loss': 0.2995, 'grad_norm': 4.0625, 'learning_rate': 4.611740613652485e-06, 'epoch': 1.08}
{'loss': 0.2826, 'grad_norm': 3.9375, 'learning_rate': 4.289883016480291e-06, 'epoch': 1.12}
{'loss': 0.281, 'grad_norm': 4.1875, 'learning_rate': 3.9710038967200825e-06, 'epoch': 1.16}
{'loss': 0.2801, 'grad_norm': 4.9375, 'learning_rate': 3.656440744218464e-06, 'epoch': 1.2}
{'loss': 0.2893, 'grad_norm': 3.578125, 'learning_rate': 3.3475129461554567e-06, 'epoch': 1.24}
{'loss': 0.2936, 'grad_norm': 4.1875, 'learning_rate': 3.045516253076137e-06, 'epoch': 1.28}
{'loss': 0.2955, 'grad_norm': 4.15625, 'learning_rate': 2.751717344062552e-06, 'epoch': 1.32}
{'loss': 0.2897, 'grad_norm': 4.96875, 'learning_rate': 2.467348513841447e-06, 'epoch': 1.36}
{'loss': 0.2834, 'grad_norm': 4.28125, 'learning_rate': 2.1936025041119268e-06, 'epoch': 1.4}
{'loss': 0.2842, 'grad_norm': 4.78125, 'learning_rate': 1.931627500772263e-06, 'epoch': 1.44}
{'loss': 0.2973, 'grad_norm': 5.9375, 'learning_rate': 1.6825223180292138e-06, 'epoch': 1.48}
{'loss': 0.2894, 'grad_norm': 5.1875, 'learning_rate': 1.4473317895893773e-06, 'epoch': 1.52}
{'loss': 0.2986, 'grad_norm': 4.21875, 'learning_rate': 1.2270423862635188e-06, 'epoch': 1.56}
