The tokenizer you are loading from 'ckpts/exp-02/final' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
[data] data/sft_v3.jsonl: kept 112996, dropped 4 over 3328 tok (0.00%); p50=376 p99=2615 max=3313; total=63.8M tokens
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3ForConditionalGeneration is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3Model is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in SiglipVisionModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Flash Attention 2 only supports torch.float16 and torch.bfloat16 dtypes, but the current dype in Gemma3TextModel is torch.float32. You should run training or inference using Automatic Mixed-Precision via the `with torch.autocast(device_type='torch_device'):` decorator, or load the model with the `dtype` argument. Example: `model = AutoModel.from_pretrained("openai/whisper-tiny", attn_implementation="flash_attention_2", dtype=torch.float16)`
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.04it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:03<00:00,  1.96s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:03<00:00,  1.81s/it]
[model] trainable 3.88B, frozen 0.42B
[plan] 8341 micro-batches/epoch, accum=8, 1042 optimiser steps
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
[1/1042] loss=0.3684 gn=1.97 lr=2.26e-07 tok/s=8800 elapsed=0.1m eta=115.7m mem=54.3G
[10/1042] loss=0.2925 gn=1.08 lr=2.26e-06 tok/s=9472 elapsed=1.1m eta=111.5m mem=61.8G
[20/1042] loss=0.3224 gn=1.29 lr=4.52e-06 tok/s=9446 elapsed=2.2m eta=110.5m mem=62.4G
[30/1042] loss=0.3226 gn=1.33 lr=6.77e-06 tok/s=9443 elapsed=3.2m eta=109.3m mem=62.4G
[40/1042] loss=0.2984 gn=1.01 lr=7.00e-06 tok/s=9441 elapsed=4.3m eta=108.2m mem=63.0G
[50/1042] loss=0.2966 gn=1.08 lr=6.99e-06 tok/s=9453 elapsed=5.4m eta=106.9m mem=63.0G
[60/1042] loss=0.2993 gn=1.14 lr=6.99e-06 tok/s=9454 elapsed=6.5m eta=105.7m mem=63.0G
[70/1042] loss=0.3093 gn=1.01 lr=6.98e-06 tok/s=9456 elapsed=7.5m eta=104.8m mem=63.2G
[80/1042] loss=0.2930 gn=0.93 lr=6.96e-06 tok/s=9463 elapsed=8.6m eta=103.7m mem=63.2G
[90/1042] loss=0.2908 gn=1.21 lr=6.95e-06 tok/s=9466 elapsed=9.7m eta=102.6m mem=63.2G
[100/1042] loss=0.2902 gn=1.45 lr=6.93e-06 tok/s=9482 elapsed=10.8m eta=101.4m mem=63.2G
[110/1042] loss=0.2923 gn=6.21 lr=6.91e-06 tok/s=9475 elapsed=11.8m eta=100.3m mem=63.8G
[120/1042] loss=0.2880 gn=1.01 lr=6.88e-06 tok/s=9475 elapsed=12.9m eta=99.2m mem=63.8G
[130/1042] loss=0.2894 gn=1.20 lr=6.85e-06 tok/s=9473 elapsed=14.0m eta=98.1m mem=63.8G
[140/1042] loss=0.2723 gn=1.22 lr=6.82e-06 tok/s=9473 elapsed=15.1m eta=97.1m mem=63.8G
[150/1042] loss=0.2844 gn=1.05 lr=6.79e-06 tok/s=9470 elapsed=16.2m eta=96.1m mem=63.8G
