[data] kept 107171 rows, dropped 2 over max_seq_len=3072 (0.00%); len p50=325 p99=2494 max=3032; 6816 micro-batches, size p50=4 min=3 max=56; 61.5M tokens
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 27.81it/s]
[model] trainable 3.88B
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
{'loss': 0.5867, 'grad_norm': 4.28125, 'learning_rate': 5.115384615384615e-06, 'epoch': 0.011737089201877934}
{'loss': 0.3972, 'grad_norm': 4.375, 'learning_rate': 1.05e-05, 'epoch': 0.023474178403755867}
{'loss': 0.3653, 'grad_norm': 1.703125, 'learning_rate': 1.3999379791990472e-05, 'epoch': 0.035211267605633804}
{'loss': 0.3607, 'grad_norm': 3.546875, 'learning_rate': 1.3990774714478588e-05, 'epoch': 0.046948356807511735}
{'loss': 0.3511, 'grad_norm': 2.5, 'learning_rate': 1.3972058206406464e-05, 'epoch': 0.05868544600938967}
{'loss': 0.3679, 'grad_norm': 1.890625, 'learning_rate': 1.3943257339261796e-05, 'epoch': 0.07042253521126761}
{'loss': 0.3561, 'grad_norm': 3.1875, 'learning_rate': 1.3904413770511763e-05, 'epoch': 0.08215962441314555}
{'loss': 0.3451, 'grad_norm': 2.40625, 'learning_rate': 1.385558368334981e-05, 'epoch': 0.09389671361502347}
{'loss': 0.3407, 'grad_norm': 2.96875, 'learning_rate': 1.3796837705432496e-05, 'epoch': 0.1056338028169014}
{'loss': 0.3575, 'grad_norm': 2.828125, 'learning_rate': 1.3728260806723899e-05, 'epoch': 0.11737089201877934}
{'loss': 0.3247, 'grad_norm': 2.796875, 'learning_rate': 1.3649952176595395e-05, 'epoch': 0.12910798122065728}
{'loss': 0.3343, 'grad_norm': 3.46875, 'learning_rate': 1.3562025080358505e-05, 'epoch': 0.14084507042253522}
{'loss': 0.3222, 'grad_norm': 3.421875, 'learning_rate': 1.3464606695438371e-05, 'epoch': 0.15258215962441316}
{'loss': 0.3389, 'grad_norm': 2.21875, 'learning_rate': 1.3357837927424814e-05, 'epoch': 0.1643192488262911}
{'loss': 0.3178, 'grad_norm': 3.28125, 'learning_rate': 1.3241873206266992e-05, 'epoch': 0.176056338028169}
{'loss': 0.3228, 'grad_norm': 3.34375, 'learning_rate': 1.3116880262906521e-05, 'epoch': 0.18779342723004694}
{'loss': 0.3443, 'grad_norm': 3.15625, 'learning_rate': 1.2983039886672032e-05, 'epoch': 0.19953051643192488}
{'loss': 0.332, 'grad_norm': 4.3125, 'learning_rate': 1.2840545663786192e-05, 'epoch': 0.2112676056338028}
{'loss': 0.3308, 'grad_norm': 2.640625, 'learning_rate': 1.2689603697363289e-05, 'epoch': 0.22300469483568075}
{'loss': 0.3269, 'grad_norm': 2.75, 'learning_rate': 1.2530432309302462e-05, 'epoch': 0.2347417840375587}
{'loss': 0.3092, 'grad_norm': 2.5625, 'learning_rate': 1.236326172450771e-05, 'epoch': 0.24647887323943662}
{'loss': 0.3232, 'grad_norm': 2.875, 'learning_rate': 1.2188333737891465e-05, 'epoch': 0.25821596244131456}
{'loss': 0.3281, 'grad_norm': 2.703125, 'learning_rate': 1.2005901364643302e-05, 'epoch': 0.2699530516431925}
{'loss': 0.3006, 'grad_norm': 2.71875, 'learning_rate': 1.1816228474269741e-05, 'epoch': 0.28169014084507044}
{'loss': 0.3163, 'grad_norm': 2.484375, 'learning_rate': 1.161958940893434e-05, 'epoch': 0.2934272300469484}
{'loss': 0.3108, 'grad_norm': 2.859375, 'learning_rate': 1.1416268586650237e-05, 'epoch': 0.3051643192488263}
{'loss': 0.319, 'grad_norm': 2.890625, 'learning_rate': 1.120656008989898e-05, 'epoch': 0.31690140845070425}
{'loss': 0.3044, 'grad_norm': 2.796875, 'learning_rate': 1.0990767240270724e-05, 'epoch': 0.3286384976525822}
